Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
216676,2020-09-06 12:20:23,4607072969078276,fraud_Zulauf LLC,personal_care,214.79,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,1985-03-21,9d1a125c3c5fe6b782b741bd525de56c,1378470023,36.378192,-96.410743,0
278326,2020-10-03 08:18:22,6506116513503136,fraud_Kilback LLC,grocery_pos,184.83,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1984-05-04,9a6d4715d7e8aca0e3b6af0c7e6d5c65,1380788302,31.646417,-95.079327,0
194941,2020-08-28 23:51:55,3533012926413100,fraud_Gulgowski LLC,home,10.25,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01,f33b50ae1a362f00041012d1a280c4f4,1377733915,43.35354,-75.8818,0
273890,2020-09-30 19:47:34,4560004149983868183,fraud_Terry-Huel,shopping_net,50.25,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09,d0ee7c4e4ee5ce3b4f5f2178dab933cd,1380570454,38.776884,-105.208713,0
303480,2020-10-13 16:27:43,30270432095985,fraud_Volkman-Predovic,shopping_net,7.26,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,9b6430cd6ee5f3badde36ad1ae2531e7,1381681663,40.623779,-91.603067,0
328948,2020-10-25 14:51:04,30030380240193,"fraud_Hettinger, McCullough and Fay",home,70.79,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",1993-11-17,78f2c30bf65df772e8ce1d95f531c512,1382712664,29.519462,-98.676617,0
402652,2020-11-26 15:57:01,180084695172649,fraud_Gottlieb-Hansen,personal_care,5.08,Holly,Mann,F,7644 Joseph Fields,Nokomis,IL,62075,39.3036,-89.2853,3458,Building surveyor,1985-12-08,e1e31d81da3c0443726c53ad1ce58e03,1385481421,38.771407,-88.771883,0
388359,2020-11-20 11:13:20,4836998673805450,fraud_Paucek-Wiza,grocery_net,41.43,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,09873389649a53477f132db37d27f816,1384946000,45.344739,-85.880414,0
134314,2020-08-07 11:01:41,3514897282719543,fraud_Emard Inc,gas_transport,74.45,Steven,Faulkner,M,841 Cheryl Centers Suite 115,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13,e39b2fd1c46f3c2a9f186d70af6ef1ea,1375873301,42.388463,-78.159811,0
284823,2020-10-05 19:03:42,213156747557083,fraud_Lynch-Wisozk,home,11.95,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,1982-07-30,e905c2c1f850b8401d30746ef795107e,1380999822,34.507706,-117.310519,0
50103,2020-07-07 23:57:00,6011367958204270,fraud_Stark-Batz,entertainment,96.26,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,f3f3eb93860fa0a69c361281bedf8f63,1373241420,40.292748,-81.369394,0
399268,2020-11-24 17:53:56,6011399591920186,fraud_Graham and Sons,health_fitness,91.34,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,27bac7d0a217c6b8caa81becb5489819,1385315636,41.561504,-72.810967,0
360477,2020-11-08 12:04:31,3518669219150142,fraud_Champlin and Sons,home,1.3,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.23299999999999,31394,Hospital doctor,1996-11-12,3a7f4a378be37d5cec5e45331c2d147a,1383912271,39.827861,-83.842869,0
437495,2020-12-06 07:51:13,4119762878330989,fraud_Jast Ltd,shopping_net,2.55,Melinda,Gutierrez,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,1945-08-19,2f6bc2bfc770efca25ab7af060d6bf7b,1386316273,41.283493,-89.953806,0
402586,2020-11-26 15:11:32,3575540972310993,fraud_Kunze Inc,grocery_pos,63.08,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,2001-06-22,ff7652689cc4c729321f2639b24c6bf5,1385478692,34.81812,-88.71396999999999,0
519037,2020-12-23 12:06:49,30404291151692,"fraud_Turcotte, Batz and Buckridge",health_fitness,24.79,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1993-10-25,4beed20523a871a9338ca213ca43a8fa,1387800409,42.21841,-77.86195,0
495142,2020-12-18 18:40:23,4412720572684931,fraud_Kub PLC,personal_care,22.75,Richard,Marshall,M,295 Page Creek Suite 181,Greenbush,VA,23357,37.7681,-75.6664,776,Psychiatrist,1949-11-17,bff930246ca9e1b545cdf570f5c07d8a,1387392023,37.411543,-76.579599,0
136780,2020-08-08 12:09:09,3583293909206278,fraud_Kautzer and Sons,personal_care,43.46,Deborah,Fisher,F,1911 Fisher Brook,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",1978-09-30,b37658e5018eb1aa41a76737a3247ea7,1375963749,35.541773,-107.172643,0
399378,2020-11-24 18:32:10,4681601008538160,"fraud_Hauck, Dietrich and Funk",kids_pets,25.83,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,a753f16a1e35c3ac495bb4f7ca054c25,1385317930,38.943751,-80.411036,0
500984,2020-12-20 06:21:58,6596735789587928,fraud_Rutherford-Mertz,grocery_pos,106.43,Spencer,Williams,M,1145 Tony Drive Suite 080,Watertown,MN,55388,44.9595,-93.8482,5619,Licensed conveyancer,1959-01-15,c48c881ae9e9abe6b44e1eefb488e76a,1387520518,45.347304,-94.414797,0
243855,2020-09-17 21:56:13,213178765398315,"fraud_Graham, Hegmann and Hammes",food_dining,87.78,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,5da8680f56a34ab88f9362754087910f,1379454973,43.587709,-108.614268,0
252699,2020-09-21 17:53:27,377654590313960,"fraud_Cronin, Kshlerin and Weber",health_fitness,106.61,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",1969-02-22,082d99683dff668538b988d3b532cc44,1379786007,35.277806,-83.751649,0
490440,2020-12-17 13:00:10,675990301623,fraud_Pouros-Conroy,shopping_pos,3.89,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,8d0cd763a000ddca202438aebd28014f,1387285210,41.748734000000006,-74.239809,0
414931,2020-11-30 20:15:50,6011542681743618,"fraud_Langosh, Wintheiser and Hyatt",food_dining,7.44,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,bbae4e6139edce712277a0c01d0cedbc,1385842550,39.796759,-78.89220300000001,0
341744,2020-10-31 01:05:30,213102873001603,fraud_Hamill-Daugherty,misc_net,3.65,Joanne,Padilla,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01,fa6340c59af6679d1b500ce25d1fc972,1383181530,43.950188,-124.931554,0
531338,2020-12-26 23:28:19,4482427013979020,fraud_Kovacek Ltd,travel,3.24,Leslie,Ford,F,4938 Hatfield Course,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,1946-08-30,ef724e0bc8352c785d81974622305da5,1388100499,38.558581,-83.102915,0
29158,2020-06-30 19:24:19,371009169330125,fraud_Schoen-Quigley,kids_pets,34.21,Randall,Burgess,M,393 Carroll Route Suite 197,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,2003-09-14,95400ce54b480d7ce2d964c646ccb63e,1372620259,30.894684,-83.213033,0
151082,2020-08-12 21:03:19,4908846471916297,"fraud_Durgan, Gislason and Spencer",home,75.14,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",1992-07-24,f95b2ab7dba37e58cb724c4f5449d3d7,1376341399,32.214531,-96.396371,0
9191,2020-06-23 19:57:02,3587960728692500,"fraud_Streich, Dietrich and Barton",shopping_net,6.89,Kathy,Hughes,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",1997-01-02,6b22a19954f574476b38f015d3f666f5,1372017422,43.219482,-95.661969,0
256466,2020-09-22 22:18:49,4025612008285111,fraud_Ullrich Ltd,kids_pets,51.92,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,15829,41.1762,-79.1976,1274,Maintenance engineer,1949-03-20,17c3c1961e128cda1b767f4f469f32a0,1379888329,42.031628000000005,-79.568686,0
114162,2020-07-31 07:14:33,4629451965224809,fraud_Kutch LLC,gas_transport,62.91,Karen,Warren,F,4900 Curtis Gardens Suite 952,Hahira,GA,31632,30.9416,-83.3574,10295,"Teacher, special educational needs",1997-12-26,5e0e4533e77d386b734a1d2b7bbda166,1375254873,31.805588,-84.29945500000001,0
425552,2020-12-03 01:31:56,30042378430132,fraud_Zemlak Group,misc_net,1.58,Connor,Grant,M,0654 Kevin Turnpike Apt. 084,Northport,NY,11768,40.9051,-73.3309,21902,Tour manager,1976-05-16,f4e5111dc258299d8946fe84f3129952,1386034316,40.625615,-72.382851,0
294995,2020-10-10 17:00:06,3513285035244624,fraud_Dickinson Ltd,personal_care,14.98,Ariana,Campbell,F,50932 Neal Valley,Daniels,WV,25832,37.7256,-81.1087,3994,"Biochemist, clinical",1936-11-05,2eca09a401c73facf55c6456c9813b27,1381424406,37.833713,-80.66681899999999,0
57760,2020-07-11 15:03:19,376445266762684,fraud_Hermann-Gaylord,misc_pos,1.53,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,6241083a03ee3fca85f5faba85e348ab,1373554999,41.811689,-100.870477,0
275500,2020-10-01 19:18:53,4229733778084049,fraud_Kutch-Wilderman,home,68.21,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,2e7d8adbe32e3d303e4c8e4713d28add,1380655133,36.699587,-85.795293,0
387041,2020-11-19 16:27:36,4377338765909719,fraud_Lubowitz-Walter,kids_pets,31.37,Nicholas,Mcmahon,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,"Geologist, wellsite",1982-04-19,abb3c14061c2be2959503f812ec7243b,1384878456,36.243432,-84.098708,0
77263,2020-07-18 12:58:30,4092452671396169678,fraud_Kub-Heaney,health_fitness,25.44,Jeffrey,Vargas,M,478 Alexandria Mount,Bolton,NC,28423,34.3091,-78.3372,2290,"Engineer, biomedical",1945-12-07,c8482207b47c3d06c67010e940cac6ae,1374152310,33.686640999999995,-79.297747,0
464669,2020-12-12 02:14:06,3583093681934489,fraud_Stoltenberg-Beatty,shopping_pos,9.67,Hannah,Knight,F,0900 Beverly Landing,Louisville,KY,40209,38.1901,-85.7519,736284,"Education officer, museum",1961-09-13,e4694021c5e13104179c087fb128735a,1386814446,37.827018,-85.705238,0
430051,2020-12-04 11:34:00,4713464490314802,fraud_Koepp-Witting,grocery_pos,109.46,Wesley,Parker,M,7452 Browning Port,Mc Intosh,SD,57641,45.7084,-101.1546,295,"Designer, industrial/product",1981-01-26,8b164b9268a3e9af56fdaa33ea6d6a75,1386156840,44.952043,-100.255298,0
24646,2020-06-29 16:35:46,2288813824604479,fraud_Ankunding LLC,shopping_net,8.64,Barbara,Norman,F,6278 Stephanie Unions,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29,0b710dd3269a5bcd6145d4b2563d63de,1372523746,41.004329,-73.403548,0
121055,2020-08-02 20:32:47,4390966588600992777,fraud_Bins-Howell,personal_care,223.52,Kyle,Simmons,M,8149 Harris Divide,Oklahoma City,OK,73134,35.6174,-97.5583,640470,Advertising copywriter,1966-06-24,63930c02b64f80cb6e8a4aa6769ac1f4,1375475567,35.311986,-96.722431,0
305909,2020-10-14 20:29:48,4500002361389,fraud_Gaylord-Powlowski,home,134.25,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1965-04-07,d819a8da477c8b5e846d75ef8a56e406,1381782588,38.627175,-76.299424,0
513686,2020-12-22 09:44:40,3521417320836166,fraud_McCullough Group,grocery_net,74.17,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,1975-11-30,f1ed186a6df72456f11974b2f4be159a,1387705480,40.654942,-86.578789,0
